timestamp,open,high,low,close,volume
2023-07-18 07:00:00+08:00,1910.06,1913.51,1907.25,1911.17,1624.048352
2023-07-18 08:00:00+08:00,1911.18,1917.19,1910.33,1911.96,1770.42005
2023-07-18 09:00:00+08:00,1911.97,1917.01,1911.4,1915.38,1396.761351
2023-07-18 10:00:00+08:00,1915.31,1916.52,1907.48,1907.52,1540.168589
2023-07-18 11:00:00+08:00,1907.53,1911.89,1906.26,1909.14,1381.561696
2023-07-18 12:00:00+08:00,1909.15,1912.1,1906.48,1909.99,1475.820944
2023-07-18 13:00:00+08:00,1909.99,1910.0,1904.1,1904.75,1598.588537
2023-07-18 14:00:00+08:00,1904.76,1909.39,1893.44,1898.77,3706.688939
2023-07-18 15:00:00+08:00,1898.77,1903.06,1896.89,1898.86,3920.541016
2023-07-18 16:00:00+08:00,1898.85,1907.51,1893.42,1901.3,3502.842801
2023-07-18 17:00:00+08:00,1901.3,1903.41,1897.35,1897.97,1561.036338
2023-07-18 18:00:00+08:00,1897.97,1905.67,1896.17,1903.6,2418.434573
2023-07-18 19:00:00+08:00,1903.6,1909.8,1890.59,1894.39,4955.20104
2023-07-18 20:00:00+08:00,1894.35,1896.1,1885.03,1892.39,7116.553394
2023-07-18 21:00:00+08:00,1892.39,1896.39,1886.6,1893.67,2670.271937
2023-07-18 22:00:00+08:00,1893.72,1903.74,1891.42,1900.17,5297.453439
2023-07-18 23:00:00+08:00,1900.17,1900.2,1893.02,1897.34,3590.496698
2023-07-19 00:00:00+08:00,1897.31,1901.14,1875.43,1884.81,8023.941054
2023-07-19 01:00:00+08:00,1884.79,1891.97,1884.0,1891.27,1823.724976
2023-07-19 02:00:00+08:00,1891.27,1902.72,1890.0,1901.3,3283.67054
2023-07-19 03:00:00+08:00,1901.29,1903.75,1890.13,1891.47,2203.320468
2023-07-19 04:00:00+08:00,1891.82,1897.13,1889.46,1894.29,1368.276107
2023-07-19 05:00:00+08:00,1894.29,1899.09,1892.53,1897.14,1036.351917
2023-07-19 06:00:00+08:00,1897.14,1902.5,1895.93,1901.42,1040.95398
2023-07-19 07:00:00+08:00,1901.41,1902.0,1893.07,1897.46,1905.811679
2023-07-19 08:00:00+08:00,1897.47,1912.49,1895.25,1911.23,5163.578441
2023-07-19 09:00:00+08:00,1911.95,1913.41,1904.51,1909.15,2364.169063
2023-07-19 10:00:00+08:00,1909.16,1911.96,1906.92,1910.44,1890.212092
2023-07-19 11:00:00+08:00,1910.44,1915.0,1909.51,1912.36,2087.875682
2023-07-19 12:00:00+08:00,1912.36,1917.98,1912.0,1912.03,2958.961171
2023-07-19 13:00:00+08:00,1912.08,1915.0,1911.2,1913.84,1445.860029
2023-07-19 14:00:00+08:00,1913.8,1914.92,1908.18,1910.05,1948.890772
2023-07-19 15:00:00+08:00,1910.05,1911.8,1907.14,1908.55,1035.859717
2023-07-19 16:00:00+08:00,1908.55,1909.79,1903.56,1904.75,2161.595244
2023-07-19 17:00:00+08:00,1904.75,1912.0,1902.54,1909.8,1324.926717
2023-07-19 18:00:00+08:00,1909.8,1911.0,1907.88,1909.11,645.594194
2023-07-19 19:00:00+08:00,1909.12,1910.36,1907.61,1909.6,572.577258
2023-07-19 20:00:00+08:00,1909.67,1910.84,1903.51,1907.27,1252.254612
2023-07-19 21:00:00+08:00,1907.28,1923.42,1902.5,1910.63,8061.799709
2023-07-19 22:00:00+08:00,1910.64,1912.51,1896.4,1898.85,4141.400599
2023-07-19 23:00:00+08:00,1898.98,1908.89,1894.31,1906.11,2419.048341
2023-07-20 00:00:00+08:00,1906.14,1908.51,1901.02,1903.0,1462.498763
2023-07-20 01:00:00+08:00,1902.99,1918.0,1901.56,1909.08,3592.85579
2023-07-20 02:00:00+08:00,1909.21,1913.6,1904.56,1912.91,1612.621237
2023-07-20 03:00:00+08:00,1913.01,1915.0,1908.8,1909.95,1432.126734
2023-07-20 04:00:00+08:00,1910.06,1910.08,1898.19,1898.67,1567.613797
2023-07-20 05:00:00+08:00,1898.66,1898.66,1882.35,1893.77,9232.113151
